communication_score,social_interaction_score,empathy_score,emotion_recognition_score,response_accuracy,average_response_time,mistake_rate,repeated_mistakes,improvement_rate,completed_sessions,difficulty_level,recommended_support_area
76.86,54.4,82.53,71.72,57.72,24.92,0.4305,5,0.0418,26,2,Social Skills Support
87.09,68.14,80.13,54.71,66.5,41.9,0.2775,6,0.0493,7,3,Behavioral/Functional Skills Support
90.04,84.84,77.15,38.04,76.24,38.45,0.2623,5,0.2135,13,3,Behavioral/Functional Skills Support
49.82,56.46,37.69,33.7,38.54,37.37,0.6536,11,0.0597,24,3,Behavioral/Functional Skills Support
50.96,44.32,70.73,34.36,54.84,42.37,0.4689,8,-0.0622,10,3,Behavioral/Functional Skills Support
63.11,34.37,32.67,69.78,56.76,20.69,0.4123,6,0.083,5,2,Emotional/Social Understanding Support
27.06,54.26,39.38,52.37,34.34,35.13,0.6014,9,0.027,15,2,Speech & Communication Support
77.52,69.51,52.23,79.54,65.07,33.62,0.3264,2,0.0853,23,1,Emotional/Social Understanding Support
35.2,71.65,54.89,50.53,50.11,42.26,0.3977,3,-0.058,12,3,Speech & Communication Support
71.88,42.81,89.93,77.18,75.61,23.08,0.2315,1,0.0392,6,2,Social Skills Support
45.5,63.81,36.84,82.39,57.64,34.22,0.4376,6,0.1551,5,2,Emotional/Social Understanding Support
52.86,27.79,58.1,47.1,48.96,61.17,0.4391,5,-0.0316,30,2,Social Skills Support
64.59,26.53,89.22,57.31,61.61,49.24,0.5037,13,0.0764,7,2,Social Skills Support
42.89,47.22,59.89,54.41,50.11,56.0,0.5083,7,-0.0379,11,1,Speech & Communication Support
43.84,69.18,73.71,76.5,72.69,29.32,0.202,1,0.0089,18,2,Speech & Communication Support
79.15,46.25,88.84,44.49,63.59,38.01,0.3248,5,0.0177,11,2,Behavioral/Functional Skills Support
84.74,75.16,84.68,84.86,84.36,46.9,0.1695,2,0.1501,27,1,Social Skills Support
42.58,87.77,41.15,33.22,63.25,36.46,0.3445,8,-0.0283,10,1,Behavioral/Functional Skills Support
90.11,58.55,34.64,25.93,62.16,40.08,0.417,2,0.0445,28,3,Behavioral/Functional Skills Support
38.38,78.88,72.93,74.51,66.39,31.7,0.3164,6,0.0903,11,3,Speech & Communication Support
86.96,26.67,62.2,67.48,53.23,43.2,0.4813,12,0.1694,8,3,Social Skills Support
56.31,77.58,26.2,32.31,43.0,37.85,0.4412,6,-0.0477,29,3,Emotional/Social Understanding Support
